"NHL Attendance.  Lots of notes, below, especially for 1991-92 through 1999-2000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Location,Team Name,Former Location,Previuous Name,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Dallas,Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697041,697041,759632,"759,812","752,556",,"730,979","734,508","739,585","724,911","705,817","617,997","583,306","409,521","601,008","711,359","753,452","742,163","742,511"
Detroit,Red Wings,,,426677,462370,457898,480795,475695,496067,536458,509314,519005,544590,509689,498445,437002,387318,547372,587638,604177,533019,499846,519144,669705,696577,681072,750225,785532,788102,781679,786548,,,,,,,,,819303,819785,822373,"822,378","822,706",,"822,706","822,706","775,394","814,474","781,847","806,892","824,706","481,584","908,131","821,107","821,107","821,107","800,115"
Edmonton,Oilers,,,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,691889,678270,673802,680334,673723,,,,,,,,,647935,640085,680307,"682,960","724,780",,"690,143","690,399","689,949","690,399","690,399","690,399","690,399","404,136","689,949","690,399","690,499","752,227","752,227"
Florida,Panthers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655260,601857,659440,"632,552","653,380",,"656,587","630,183","632,881","640,496","605,863","643,116","681,763","407,806","581,286","461,877","630,746","599,447","567,897"
Hartford,Whalers,New England,New England Whalers,,,,,,,,,,,,,,,,,394228,461008,456510,427819,459525,481059,510753,569219,582969,556823,548025,497224,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,Golden Knights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"739,740"
Los Angeles,Kings,,,,,,,297394,334482,321163,359638,338399,424456,433424,504817,494613,497424,471856,399696,417747,442400,430062,464670,419725,486624,409240,425769,466677,595000,659694,628028,,,,,,,,,677264,658340,687002,"720,366","732,958",,"731,475","691,229","680,877","676,042","709,853","741,404","734,736","436,295","779,734","748,893","749,234","747,858","747,845"
Minnesota,Wild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,751468,756686,"758,536","759,776",,"761,614","757,280","761,288","761,288","755,055","720,508","728,683","451,075","758,729","779,944","812,907","781,879","780,501"
Minnesota,North Stars,,,,,,,438891,490940,544061,565616,597461,595290,589752,543460,386229,363325,346631,428899,523733,567199,608797,579403,574206,539218,528622,540460,457617,391787,454147,313520,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal ,Canadiens,,,488663,495582,508060,524805,,,,,,,649742,647552,,,,,,,,,,,,,,,,,,,,,,,,,828437,824308,821120,"847,586","842,767",,"872,194","872,193","872,193","872,193","872,193","872,193","872,193","510,552","872,193","872,752","872,808","872,808","873,283"
Nashville,Predators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680582,635374,606347,"542,367","539,450",,"591,556","625,649","611,328","615,439","614,143","661,861","684,324","407,386","680,619","691,028","695,828","703,555","709,597"
New Jersey,Devils,"Colorado, Kansas City","Colorado Rockies, Kansas City Scouts",,,,,,,,,,,*****,294222,,,,,,,,,,,,,,,,525934,,,,,,,,,623457,641340,652957,"609,218","617,449",,"583,448","581,225","638,144","647,397","636,975","605,803","631,258","410,739","625,570","622,783","618,029","597,261","623,240"
New York,Islanders,,,,,,,,,,,,,450691,506929,590476,598551,618435,529615,585749,598304,603444,605997, ,631000,632305,594382,582871,557004,524685,481508,,,,,,,,,399671,464627,596498,"612,154","551,711",,"516,973","528,331","559,247","564,697","522,168","453,456","540,838","319,362","604,362","628,729","558,705","537,149","492,086"
New York,Rangers,,,435531,415748,428664,472248,,,,,,,671716,692633,,,,,,,,,,,,,,,,,,,,,,,,,746200,746200,739582,"744,068","741,302",,"743,848","746,200","746,200","745,085","741,128","742,432","745,852","412,800","738,246","738,246","738,246","738,828","731,899"
Ottawa,Senators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717852,729515,693684,"705,124","728,101",,"798,453","794,271","812,665","776,947","749,061","753,525","793,612","465,801","742,468","748,112","741,472","686,534","648,996"
Philadelphia,Flyers,,,,,,,288747,425443,508132,551113,560796,626468,663273,683080,683080,683080,683080,683080,683080,683080,681744,673880,665445,678036,687342,688497,696180,696202,696268,693674,,,,,,,,,805014,802605,802337,"792,333","794,388",,"805,783","790,591","801,797","801,372","800,966","808,328","837,754","474,878","813,411","790,107","788,319","805,408","800,214"
Phoenix,Coyotes,"Winnepeg, Canada",Jets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614644,583194,539770,"542,404","634,242",,"638,871","614,519","607,638","609,907","491,558","487,543","509,241","334,165","564,798","547,149","550,763","536,878","534,670"
Pittsburgh,Penguins,,,,,,,274049,228285,265936,377182,375711,436601,396197,448975,458198,401580,421933,457209,426156,413407,451965,336300,273550,400711,503020,598614,606638,629345,640700,637072,,,,,,,,,633199,655937,641615,"604,728","486,961",,"647,975","673,395","700,137","695,997","700,211","729,628","761,224","447,560","763,344","763,319","760,584","810,273","761,764"
Quebec,Nordiques,,,,,,,,,,,,,,,,,,,394228,489096,604817,602318,599420,594712,591376,593289,597707,581795,603193,568000,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose,Sharks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435520,452849,680407,412560,704790,714238,701164,685929,708925,716196,714237,"711,386","649,261",,"690,095","714,316","713,863","717,023","719,904","702,480","720,076","421,472","702,480","767,012","686,623","717,833","711,988"
St. Louis,Blues,,,,,,,329201,548565,622798,711287,716657,725458,702375,723037,692838,585955,425323,405200,490355,584124,577301,504460,519472,535865,489193,529613,580212,605537,632525,686304,700724,686211,720003,467730,771033,689079,755014,749334,741938,800247,777695,"761,388","760,976",,"582,742","513,345","722,021","760,732","755,322","785,150","771,207","414,328","698,059","760,349","756,483","801,127","752,624"
Tampa Bay ,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557618,611173,644610,"678,354","730,634",,"840,887","814,944","766,412","676,409","635,388","708,022","757,192","457,337","763,096","771,761","782,772","782,772","782,772"
Toronto,Maple Leafs,,"Arenas, St.Patricks",494634,502730,521062,551801,,,,,,,636463,650602,,,,,,,,,,,,,,641800,648400,649720,,,,,,,,,758484,789467,790457,"788,847","794,439",,"795,747","798,981","796,803","791,795","789,681","793,522","799,786","466,229","797,310","781,576","785,485","809,519","786,677"
Vancouver ,Canucks,,,,,,,,,,,,,613420,627213,,,,,,,,,,,,,,548000,606630,601560,,,,,,,,,600313,697717,726226,"754,247","763,867",,"763,830","763,830","763,830","763,830","771,210","773,260","774,250","454,740","810,594","767,149","755,677","758,891","741,233"
Washington,Capitals,,,,,,,,,,,,,,400171,393412,432252,434864,397007,442491,472013,455086,495050,473479,560309,599894,611561,638212,680506,690023,664338,,,,,,,,687372,593922,636914,710990,"647,272","603,528",,"570,113","571,129","634,381","741,992","749,357","754,309","758,746","425,638","740,240","783,072","758,944","758,746","769,756"
Winnipeg,Jets,,,,,,,,,,,,,,,,,,,531836,530588,535951,517413,494942,519148,489747,581717,533929,558234,574401,517246,,,,,,,,,,,,,,,,,,"599,673","557,897","552,230","615,164","360,096","615,164","616,556","627,054","645,004","628,161"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,"2,795,100","2,867,868","2,952,051","3,095,624","2,287,484","2,696,263","3,035,103","3,662,224","3,943,193","5,244,459","8,875,832","9,819,567","6,119,932","5,814,742","5,521,584","5,522,748","7,046,694","7,167,140","7,295,170","7,062,770","6,926,525","8,611,410","8,546,510","9,531,682","9,754,854","11,065,039","11,461,793","11,637,977","1,136,244","1,139,060","1,400,410","880,290","1,475,823","1,403,317","2,264,222","2,833,138","18,752,855","20,344,965","20,613,591","20,406,333","20,336,162",,"20,854,299","20,857,288","21,289,579","21,495,541","20,907,061","20,928,036","21,470,155","12,758,849",,,,,
,#Teams,,,6,6,6,6,7,7,7,8,8,10,16,18,12,12,11,11,14,14,14,14,13,15,15,16,16,18,18,19,2,2,2,2,2,2,3,4,28,30,30,30,30,,30,30,30,30,30,30,30,30,,,,,
,#Games,,,35,35,35,35,37,38,38,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,42,42,,42,42,42,42,42,42,42,24,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year is when season STARTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early attendance to 1990 from Q&F Pay Dirt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999-2000 onward from ESPN:  http://espn.go.com/nhl/attendance (or from ESPN, itself prior to 2000-2001).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
